iter	Logloss
0	0.685429332
1	0.6767993969
2	0.668997293
3	0.6616655287
4	0.6548086313
5	0.6475774744
6	0.640469855
7	0.6328901773
8	0.6263013986
9	0.6193278386
10	0.6129115597
11	0.6067071013
12	0.6004090362
13	0.5942798656
14	0.5879762251
15	0.5824341826
16	0.5765926655
17	0.5699132982
18	0.5636595422
19	0.558526385
20	0.5525727744
21	0.5472473312
22	0.5417213021
23	0.5361820263
24	0.5307962606
25	0.5255972474
26	0.5209660373
27	0.5156904367
28	0.5111685114
29	0.505851536
30	0.5006822859
31	0.4951590234
32	0.4907508263
33	0.4861098069
34	0.4811788286
35	0.4768664182
36	0.4722096789
37	0.4678745479
38	0.4641070942
39	0.4593330635
40	0.455673092
41	0.4507193513
42	0.4470014048
43	0.4425946749
44	0.4390527075
45	0.4350560786
46	0.4316288036
47	0.4281129942
48	0.4244233016
49	0.4211014549
50	0.4178222824
51	0.4145169939
52	0.4104035765
53	0.4070124783
54	0.4030962934
55	0.3995296772
56	0.3965777722
57	0.3922882499
58	0.3889925192
59	0.3861576122
60	0.3831782917
61	0.380353739
62	0.377110869
63	0.3748256138
64	0.3722963438
65	0.369577345
66	0.3669678405
67	0.3643652109
68	0.3618589967
69	0.3588637467
70	0.3559039189
71	0.3534027351
72	0.3508093698
73	0.3482583434
74	0.3457978846
75	0.343099636
76	0.341047811
77	0.3390118735
78	0.3369946113
79	0.3345880194
80	0.3324611999
81	0.330432808
82	0.3288403186
83	0.3268325722
84	0.3248520317
85	0.3228330507
86	0.3210509164
87	0.3190024868
88	0.3167766948
89	0.3149308425
90	0.3134221716
91	0.3114753136
92	0.3096197988
93	0.3075021597
94	0.3055757585
95	0.3038956778
96	0.3021667816
97	0.3002666012
98	0.2985257578
99	0.2968627175
100	0.2952545711
101	0.2935202253
102	0.2918477949
103	0.289894104
104	0.2881944258
105	0.286706107
106	0.2853074545
107	0.2839068109
108	0.2824190161
109	0.2805989444
110	0.2790982592
111	0.277365695
112	0.2758073492
113	0.2745025132
114	0.2729777661
115	0.2712539421
116	0.27007868
117	0.2684936943
118	0.2670242603
119	0.2657083574
120	0.2642040462
121	0.262865884
122	0.2617328141
123	0.2607397142
124	0.2596604064
125	0.2586945544
126	0.2575949994
127	0.2561660599
128	0.2553301382
129	0.2541648739
130	0.2528032995
131	0.2514801864
132	0.2499091599
133	0.2489277347
134	0.247889131
135	0.2468114161
136	0.2458395486
137	0.2445202293
138	0.243582212
139	0.2424313891
140	0.2415483076
141	0.2406833355
142	0.2399032299
143	0.2391177796
144	0.2382827591
145	0.2373303843
146	0.2365474282
147	0.2357564025
148	0.2349582085
149	0.2340335217
150	0.2330598936
151	0.231939232
152	0.2311507634
153	0.2300816211
154	0.2290326213
155	0.228380832
156	0.2276826796
157	0.2268954267
158	0.2260639484
159	0.225245591
160	0.2244116815
161	0.2235664116
162	0.2228032206
163	0.222040365
164	0.2212940258
165	0.2203958323
166	0.2196532868
167	0.2188473377
168	0.2181485773
169	0.2172721192
170	0.2164274153
171	0.2158502851
172	0.2152898181
173	0.214791015
174	0.2139798049
175	0.2132919228
176	0.2125929109
177	0.2121183584
178	0.2115271013
179	0.2107068995
180	0.2100934878
181	0.2095211574
182	0.2085499187
183	0.2080879211
184	0.2074531932
185	0.2065259074
186	0.2060237717
187	0.2054572682
188	0.2048509619
189	0.2039189601
190	0.2034562499
191	0.2028579922
192	0.2024012136
193	0.2017907992
194	0.2012780577
195	0.2005222656
196	0.2000241961
197	0.1994669988
198	0.1990764324
199	0.1985171391
200	0.1979861417
201	0.1972639901
202	0.1966094552
203	0.1960273575
204	0.1954318874
205	0.1951926095
206	0.1946861141
207	0.1943276164
208	0.1939364004
209	0.1933064723
210	0.1927574493
211	0.192358541
212	0.1918151352
213	0.1913346301
214	0.1910526988
215	0.1906595335
216	0.1901924427
217	0.1898215158
218	0.1892047924
219	0.188848223
220	0.1879653931
221	0.187404423
